URL,Ignored (Yes/No),Landing page (Yes/No),Tag status
cacomi.app/ctrl-x7q2/review-logs,No,No,Not tagged
cacomi.app/recipes/avena-nocturna-con-manzana-verde-y-canela/60fb7cc1-6e34-46e2-8cca-80bdd04846be,No,No,Not tagged
cacomi.app/recipes/nopales-en-escabeche-casero-con-zanahoria-y-cebolla/ed7e12ac-6366-4b95-b484-7887e9dc9e5a,No,No,Not tagged
cacomi.app/recipes/pudin-de-chia-con-frutas-de-temporada/2013b41d-ace9-4f77-9052-562562f68f9f,No,No,Not tagged
cacomi.app/recipes/sopa-de-tortilla-saludable-con-caldo-de-jitomate-y-vegetales/1fd70cb0-f594-48ef-8c8f-bb1dae42ad75,No,No,Not tagged
cacomi.app/recipes/sopa-rustica-de-verduras-de-milpa-y-cilantro/df449be9-d9c1-4966-809b-b38cc4e4fd2c,No,No,Not tagged
cacomi.app/recipes/yogur-griego-con-frutos-rojos-y-nibs-de-cacao/d3e2f726-c246-4d94-91d1-3383d8b8571d,No,No,Not tagged
cacomi.app/revista,No,No,Not tagged
culina-smart.pages.dev/ctrl-x7q2/dashboard,No,No,Not tagged
culina-smart.pages.dev/ctrl-x7q2/logs,No,No,Not tagged
culina-smart.pages.dev/ctrl-x7q2/moderation,No,No,Not tagged
culina-smart.pages.dev/ctrl-x7q2/review-logs,No,No,Not tagged
culina-smart.pages.dev/recipes/arroz-integral-al-vapor-con-ajonjoli-tostado/3c3643b1-9e38-4735-866e-80f41882f034,No,No,Not tagged
culina-smart.pages.dev/recipes/ensalada-de-nopalitos-con-rabano-y-cilantro-fresco/23c70130-12c5-4bcc-b521-77404674694a,No,No,Not tagged
culina-smart.pages.dev/recipes/jicamas-picadas-con-chamoy-casero-saludable/63b9bd35-5cda-4c72-a593-cbf6995ab299,No,No,Not tagged
culina-smart.pages.dev/recipes/mole-poblano-suave/1f9befe6-3836-44ed-b11a-2ceb33a1d1d7,No,No,Not tagged
culina-smart.pages.dev/recipes/pescado-zarandeado-a-la-plancha-con-especias/8a6a73e3-8b0b-43f3-95a9-f6309389e479,No,No,Not tagged
culina-smart.pages.dev/recipes/salsa-macha-casera-con-ajonjoli-y-chile-de-arbol/7a6d1ee0-2e96-499c-a52f-ac795735b1fb,No,No,Not tagged
culina-smart.pages.dev/recipes/trocitos-de-pollo-con-champinones-y-rajas-poblanas/91ff8021-6b03-489c-9dad-355b139c58bc,No,No,Not tagged
cacomi.app/planner,No,No,Tagged
cacomi.app/juego,No,No,Tagged
cacomi.app/,No,No,Tagged
cacomi.app/revista/edicion-01/,No,No,Tagged
cacomi.app/recipes/chips-de-jicama-con-pimenton-en-freidora-de-aire/093606b3-acbe-4ee0-91f9-f1d8dd934e8b,No,No,Tagged
cacomi.app/recipes/chips-de-calabacita-en-freidora-de-aire-con-pimenton/c71ed16c-a027-488a-b569-8ac2a8438a4a,No,No,Tagged
cacomi.app/recipes/tamarindos-enchilados-caseros-con-stevia/c8d043da-9e65-4860-a1e1-b7870db318ee,No,No,Tagged
cacomi.app/recipes/pudin-de-camote-con-leche-de-coco-y-vainilla/0a842844-165a-4953-87e0-2294ebd10b06,No,No,Tagged
culina-smart.pages.dev/,No,No,Tagged
cacomi.app/recipes/salmon-con-costra-de-nueces-y-limon/f68e3d70-4b0d-42d9-896a-a57cfd222842,No,No,Tagged
cacomi.app/recipes/burritos-integrales-de-huevo-con-salsa-mexicana/656e2042-9a3e-425c-8a08-1c82f2735f58,No,No,Tagged
cacomi.app/recipes/helado-de-platano-y-cacao-casero/67adddfc-cca3-4686-9e87-78bb0452b44f,No,No,Tagged
cacomi.app/create-recipe,No,No,Tagged
cacomi.app/blog/ninos-coman-verduras,No,No,Tagged
